0|3|1001-5000|0|0
1|12|5001-10000|1|2
2|9|0-500|2|3
3|7|501-1000|7|2
4|16|1001-5000|6|2
5|14|1001-5000|0|3
6|2|5001-10000|3|2
7|19|Unknown|4|1
8|0|1001-5000|3|3
9|12|501-1000|6|3
10|6|5001-10000|0|2
11|13|>10000|1|3
12|4|5001-10000|0|3
13|18|0-500|4|3
14|2|5001-10000|0|3
15|9|0-500|2|2
16|15|0-500|1|2
17|19|>10000|4|4
18|18|5001-10000|0|2
19|13|0-500|6|-1
20|14|0-500|4|0
21|5|1001-5000|1|2
22|19|5001-10000|0|2
23|16|0-500|0|0
24|5|501-1000|1|2
25|16|0-500|1|4
26|10|0-500|1|3
27|15|501-1000|1|3
28|2|0-500|1|4
29|11|501-1000|1|2
30|14|0-500|0|-1
31|17|1001-5000|1|0
32|16|1001-5000|3|1
33|10|1001-5000|1|3
34|18|501-1000|5|2
35|19|5001-10000|2|0
36|5|1001-5000|0|3
37|6|1001-5000|2|1
38|1|501-1000|5|4
39|19|1001-5000|8|-1
40|0|1001-5000|5|0
41|15|1001-5000|5|2
42|11|5001-10000|0|2
43|1|1001-5000|0|1
44|15|1001-5000|0|4
45|5|1001-5000|1|2
46|3|5001-10000|0|4
47|19|501-1000|6|-1
48|8|>10000|4|2
49|8|5001-10000|1|3
50|14|1001-5000|1|3
51|16|501-1000|5|0
52|14|5001-10000|5|0
53|3|1001-5000|1|0
54|12|0-500|2|4
55|18|1001-5000|0|0
56|18|5001-10000|4|1
57|1|0-500|3|3
58|1|1001-5000|0|2
59|5|1001-5000|1|0
60|7|1001-5000|0|2
61|10|501-1000|0|3
62|6|1001-5000|3|-1
63|14|>10000|1|1
64|8|5001-10000|0|1
65|5|1001-5000|6|3
66|13|1001-5000|1|1
67|7|1001-5000|2|4
68|7|Unknown|3|2
69|13|501-1000|1|3
70|0|1001-5000|2|-1
71|16|1001-5000|0|1
72|9|5001-10000|0|2
73|17|1001-5000|1|2
74|11|1001-5000|6|3
75|11|501-1000|0|3
76|8|501-1000|0|2
77|18|1001-5000|2|4
78|7|0-500|3|2
79|1|>10000|0|0
80|18|>10000|3|2
81|5|1001-5000|0|3
82|10|1001-5000|0|3
83|5|>10000|3|1
84|4|1001-5000|1|1
85|7|5001-10000|5|3
86|8|1001-5000|1|4
87|6|1001-5000|1|0
88|16|5001-10000|0|2
89|10|0-500|3|-1
90|13|5001-10000|0|2
91|10|5001-10000|0|3
92|13|5001-10000|0|1
93|14|0-500|0|0
94|12|Unknown|3|3
95|2|1001-5000|1|2
96|6|>10000|2|1
97|12|0-500|6|2
98|13|0-500|4|3
99|11|5001-10000|1|1
100|10|1001-5000|3|1
101|10|5001-10000|7|-1
102|13|1001-5000|5|3
103|13|0-500|0|0
104|13|1001-5000|0|1
105|13|501-1000|0|2
106|10|Unknown|0|0
107|18|1001-5000|4|0
108|8|501-1000|3|2
109|17|1001-5000|7|3
110|7|1001-5000|7|3
111|9|5001-10000|0|2
112|3|5001-10000|0|2
113|4|1001-5000|0|3
114|1|0-500|0|1
115|13|1001-5000|1|0
116|16|1001-5000|1|4
117|12|1001-5000|5|2
118|11|5001-10000|1|2
119|3|501-1000|0|1
120|0|5001-10000|4|1
121|0|1001-5000|0|2
122|8|501-1000|8|1
123|1|5001-10000|0|1
124|1|0-500|1|3
125|5|5001-10000|1|3
126|9|501-1000|4|-1
127|13|1001-5000|2|3
128|6|5001-10000|7|2
129|15|1001-5000|3|2
130|12|1001-5000|0|3
131|12|501-1000|2|2
132|15|0-500|4|3
133|16|1001-5000|5|3
134|12|0-500|0|0
135|10|5001-10000|2|3
136|5|1001-5000|4|1
137|3|0-500|1|3
138|1|1001-5000|3|1
139|2|0-500|2|-1
140|14|5001-10000|0|0
141|3|501-1000|9|3
142|10|501-1000|0|2
143|10|5001-10000|2|3
144|1|501-1000|0|-1
145|1|5001-10000|1|3
146|13|5001-10000|4|0
147|9|501-1000|9|1
148|9|0-500|2|2
149|6|1001-5000|0|2
150|7|1001-5000|6|3
151|15|5001-10000|1|1
152|9|>10000|7|0
153|5|0-500|0|3
154|13|1001-5000|1|3
155|4|Unknown|0|4
156|0|Unknown|0|3
157|7|1001-5000|1|1
158|6|5001-10000|6|3
159|13|501-1000|7|3
160|7|1001-5000|5|0
161|6|>10000|1|2
162|0|1001-5000|1|3
163|5|5001-10000|2|0
164|3|501-1000|1|2
165|13|Unknown|0|2
166|5|Unknown|0|2
167|17|1001-5000|3|3
168|13|1001-5000|1|1
169|14|1001-5000|0|2
170|3|0-500|0|2
171|8|Unknown|3|2
172|3|0-500|1|2
173|3|1001-5000|0|3
174|2|0-500|4|0
175|6|1001-5000|0|2
176|13|5001-10000|7|0
177|17|0-500|4|1
178|16|5001-10000|0|2
179|10|501-1000|1|2
180|19|1001-5000|0|0
181|0|1001-5000|2|3
182|3|1001-5000|7|0
183|5|5001-10000|3|2
184|19|1001-5000|0|2
185|9|501-1000|0|3
186|18|1001-5000|1|3
187|17|5001-10000|0|4
188|16|5001-10000|0|0
189|15|5001-10000|3|2
190|3|1001-5000|4|3
191|19|0-500|0|3
192|1|Unknown|0|0
193|4|5001-10000|4|2
194|1|5001-10000|2|1
195|9|1001-5000|2|1
196|4|Unknown|0|1
197|19|0-500|1|2
198|12|0-500|0|1
199|0|Unknown|1|3
200|18|1001-5000|1|2
201|3|>10000|6|2
202|3|5001-10000|2|2
203|17|5001-10000|3|-1
204|19|0-500|1|2
205|13|1001-5000|1|2
206|3|>10000|1|2
207|12|1001-5000|0|0
208|0|1001-5000|0|2
209|2|1001-5000|6|3
210|3|1001-5000|3|3
211|11|501-1000|0|2
212|7|1001-5000|1|1
213|11|5001-10000|3|1
214|17|1001-5000|2|2
215|10|501-1000|3|2
216|4|1001-5000|1|2
217|2|501-1000|3|2
218|19|1001-5000|1|3
219|9|Unknown|6|2
220|13|>10000|4|3
221|10|1001-5000|1|1
222|2|0-500|0|2
223|11|5001-10000|3|2
224|19|1001-5000|0|2
225|9|5001-10000|4|2
226|17|501-1000|1|2
227|1|1001-5000|4|2
228|6|0-500|3|3
229|17|1001-5000|1|3
230|1|501-1000|0|0
231|1|1001-5000|7|0
232|7|0-500|9|2
233|0|1001-5000|0|3
234|19|5001-10000|2|0
235|10|1001-5000|1|1
236|3|0-500|2|2
237|11|1001-5000|0|-1
238|8|1001-5000|1|3
239|18|0-500|5|2
240|12|5001-10000|1|2
241|10|0-500|6|2
242|16|501-1000|1|2
243|14|501-1000|7|3
244|16|1001-5000|6|4
245|7|1001-5000|0|2
246|10|0-500|3|0
247|1|501-1000|0|2
248|4|0-500|3|1
249|4|501-1000|8|2
250|8|>10000|1|2
251|13|5001-10000|0|2
252|17|5001-10000|1|0
253|12|1001-5000|7|2
254|5|0-500|4|2
255|10|0-500|1|2
256|12|Unknown|1|0
257|3|1001-5000|4|2
258|13|1001-5000|7|1
259|14|5001-10000|9|1
260|18|501-1000|5|2
261|3|501-1000|0|2
262|3|5001-10000|4|3
263|8|1001-5000|5|2
264|0|5001-10000|4|1
265|1|1001-5000|4|2
266|3|Unknown|0|3
267|6|5001-10000|1|0
268|10|5001-10000|1|4
269|11|5001-10000|1|1
270|1|5001-10000|5|1
271|10|0-500|4|2
272|14|501-1000|4|3
273|2|5001-10000|1|0
274|1|5001-10000|8|1
275|11|5001-10000|0|1
276|4|501-1000|1|2
277|4|1001-5000|5|2
278|15|1001-5000|9|2
279|13|0-500|6|0
280|18|501-1000|2|4
281|18|0-500|0|3
282|14|1001-5000|1|3
283|17|Unknown|0|2
284|0|1001-5000|3|3
285|6|5001-10000|1|0
286|15|0-500|0|3
287|7|0-500|0|1
288|11|1001-5000|1|1
289|2|1001-5000|3|0
290|13|5001-10000|4|0
291|10|5001-10000|4|2
292|18|1001-5000|1|4
293|5|1001-5000|5|2
294|3|0-500|2|2
295|12|5001-10000|2|1
296|4|5001-10000|0|2
297|0|0-500|0|1
298|8|5001-10000|0|2
299|19|1001-5000|5|2
300|3|5001-10000|1|3
301|0|1001-5000|4|2
302|18|1001-5000|4|1
303|8|1001-5000|3|2
304|7|5001-10000|0|0
305|16|>10000|7|1
306|15|1001-5000|2|1
307|2|0-500|3|2
308|14|5001-10000|1|0
309|16|501-1000|1|3
310|16|Unknown|0|2
311|4|501-1000|0|2
312|17|1001-5000|6|2
313|7|>10000|5|1
314|12|5001-10000|2|0
315|19|1001-5000|0|2
316|4|5001-10000|3|0
317|13|0-500|1|0
318|5|1001-5000|3|2
319|5|1001-5000|1|2
320|14|0-500|2|4
321|18|1001-5000|2|2
322|6|1001-5000|3|2
323|12|5001-10000|5|2
324|1|0-500|1|0
325|9|5001-10000|0|2
326|13|501-1000|6|2
327|1|1001-5000|0|1
328|9|501-1000|1|2
329|6|1001-5000|1|0
330|4|501-1000|6|0
331|5|0-500|2|1
332|5|501-1000|1|1
333|7|1001-5000|0|0
334|6|5001-10000|2|3
335|6|501-1000|2|3
336|5|501-1000|0|0
337|5|1001-5000|0|1
338|9|5001-10000|0|1
339|1|501-1000|0|3
340|16|0-500|5|0
341|16|501-1000|3|3
342|3|0-500|0|2
343|7|1001-5000|1|3
344|3|1001-5000|0|2
345|4|1001-5000|0|2
346|11|501-1000|1|2
347|2|5001-10000|4|-1
348|13|1001-5000|0|2
349|12|5001-10000|6|2
350|17|501-1000|3|3
351|17|5001-10000|4|2
352|14|501-1000|0|4
353|14|0-500|0|1
354|6|0-500|0|1
355|9|0-500|1|2
356|11|1001-5000|0|-1
357|13|1001-5000|1|2
358|2|1001-5000|5|2
359|9|501-1000|5|3
360|17|1001-5000|0|3
361|15|1001-5000|4|2
362|15|5001-10000|0|2
363|7|1001-5000|5|0
364|13|1001-5000|1|-1
365|17|501-1000|5|1
366|18|5001-10000|2|1
367|16|501-1000|4|3
368|1|501-1000|2|2
369|8|0-500|1|2
370|8|1001-5000|3|4
371|13|1001-5000|0|2
372|13|1001-5000|0|1
373|3|0-500|1|2
374|13|1001-5000|0|1
375|4|501-1000|1|2
376|0|1001-5000|3|2
377|0|Unknown|1|4
378|17|5001-10000|2|1
379|16|5001-10000|3|0
380|7|5001-10000|1|3
381|2|5001-10000|0|2
382|12|0-500|1|0
383|1|>10000|1|2
384|5|1001-5000|1|1
385|7|501-1000|8|1
386|9|1001-5000|1|4
387|11|501-1000|3|2
388|11|>10000|4|1
389|6|1001-5000|0|1
390|6|1001-5000|0|3
391|19|501-1000|3|1
392|6|0-500|1|3
393|11|1001-5000|5|4
394|0|1001-5000|1|3
395|5|501-1000|1|1
396|7|1001-5000|2|2
397|4|1001-5000|0|2
398|9|0-500|7|3
399|11|5001-10000|0|2
400|15|0-500|1|2
401|9|0-500|8|-1
402|17|>10000|5|3
403|18|0-500|1|4
404|15|1001-5000|1|1
405|14|1001-5000|2|2
406|19|>10000|4|3
407|1|>10000|1|3
408|9|5001-10000|3|3
409|14|1001-5000|0|3
410|12|0-500|2|2
411|11|5001-10000|5|0
412|4|0-500|2|1
413|13|5001-10000|3|1
414|13|1001-5000|4|2
415|14|5001-10000|2|1
416|14|1001-5000|1|3
417|2|1001-5000|0|3
418|15|5001-10000|4|3
419|17|0-500|6|2
420|3|1001-5000|6|3
421|17|>10000|0|2
422|13|501-1000|5|2
423|17|501-1000|5|2
424|18|501-1000|4|3
425|7|0-500|1|2
426|3|0-500|7|1
427|18|501-1000|1|1
428|19|1001-5000|6|2
429|3|5001-10000|5|3
430|18|1001-5000|0|3
431|1|0-500|1|3
432|15|1001-5000|1|1
433|14|1001-5000|0|2
434|17|1001-5000|0|3
435|16|5001-10000|3|2
436|6|1001-5000|1|2
437|19|1001-5000|6|2
438|18|1001-5000|0|2
439|12|Unknown|0|2
440|16|Unknown|4|-1
441|3|501-1000|3|2
442|13|501-1000|1|2
443|4|1001-5000|6|-1
444|6|1001-5000|0|2
445|5|5001-10000|0|3
446|0|1001-5000|2|2
447|3|5001-10000|5|3
448|7|0-500|3|2
449|8|0-500|0|3
450|5|1001-5000|7|4
451|19|501-1000|0|2
452|5|1001-5000|0|2
453|1|5001-10000|0|2
454|8|0-500|1|3
455|14|501-1000|3|2
456|17|Unknown|1|1
457|9|5001-10000|5|4
458|15|Unknown|1|0
459|19|1001-5000|0|2
460|8|1001-5000|3|2
461|6|0-500|1|3
462|14|0-500|2|3
463|11|1001-5000|1|1
464|6|1001-5000|3|1
465|1|5001-10000|2|3
466|4|0-500|3|-1
467|12|0-500|5|4
468|3|1001-5000|7|2
469|5|1001-5000|4|0
470|18|5001-10000|1|1
471|6|>10000|1|0
472|0|5001-10000|0|1
473|3|5001-10000|2|-1
474|4|0-500|3|2
475|13|5001-10000|0|2
476|7|Unknown|9|1
477|12|1001-5000|0|0
478|9|1001-5000|4|3
479|19|5001-10000|3|3
480|10|501-1000|0|2
481|12|501-1000|3|2
482|16|1001-5000|0|-1
483|1|5001-10000|2|1
484|1|1001-5000|0|2
485|2|1001-5000|1|0
486|16|1001-5000|1|3
487|0|501-1000|6|2
488|12|0-500|1|2
