17835|AAAAAAAAAAAABAJZ|2000-01-21||ironic theodolites within the quietly quiet gifts kindle daringly above the blithe sly tithes! carefully furious frets can impress permanent busy platelets; dogge|55.85|84.94|6453630|TsX|3|Pop|2|Music|491|W393oWmQVb9oufqSaVYsfQv|small|7r|hot|Pound|Unknown|78|cDyPLi8o4mlK6k9EpJQb
17836|AAAAAAAAAAAABAKA|2000-04-25||busy sly tithes would x-ray through the thinly close dugouts-- always bold dinos x-ray furiously stealthy attainments-- quiet platelets beside the idle final multipliers was ironically|80.87|12.49|7983030|tulRj6|2|NO_SUB_CAT|3|Books|219|RaXWd9AGPoLWB0cQVh|petite|ctwiPfTJDl|powder|Unknown|Unknown|34|u1tMZa8sZoqx9k0D2jcB379cIQwwnLdZs
17837|AAAAAAAAAAAABAKB|2000-04-24||dolphins will have to was furiously fluffily enticing sauternes-- fluffily sly pearls mold permanently slyly even sauternes? silently blithe theodolites of the stealthy pearls would detect slyly|54.60|66.49|8364849|6AbQkk1ItK4Ua|1|TV|8|Movies & TV|330|AbWRVcbmOt6fL9idn9zSMZdI0MmL4Bx7wDjUKDSwLjfP|economy|3urvw|deep|Tsp|Unknown|100|7QNwaTb8orMJZ11sHppg4TueG
17838|AAAAAAAAAAAABAKC|2000-02-19||grouches to the busy ideas lose toward the warthogs! dogged even waters snooze regularly: sly regular realms will have to sleep never; regularly brave depths beside the |47.01|58.71|7969409|3bh1Yhly6Dquz2KpepDnXXu8S|3|Education & Reference|3|Books|89|IBsEK6Bv9|petite|qK8idCsffMDh6esqa|lawn|Case|Unknown|55|x7hICebvkbXwB8dnRjZtRR5LC9aKCABe7KFaDGI7S4ClirhM
17839|AAAAAAAAAAAABAKD|2000-02-11||brave asymptotes up the permanently brave patterns was slow fluffy dugouts! ironic theodolites across the pinto beans can believe enticing blithe braids? furiously regular forg|85.91|68.53|8857844|ywdratW0XTRVbc6X2X4qW7IfBFIacnee|3|Pop|2|Music|708|Uw6oU8aU3pcNor4NZFFW|economy|qQl3rDnNehZRh|ivory|Tbl|Unknown|43|j5uEaQ8RNi2CdAc8s6m2p7kRKmqDsoKND1BxaSknNISbJW7mX
17840|AAAAAAAAAAAABAKE|2000-04-01||quiet escapades at the brave frets might nod silently sentiments-- daring sauternes within the final gifts poach daringly during the furious final sauternes; brav|18.41|81.83|7998601|BdrgU|1|Kitchen & Dining|1|Home & Kitchen|772|3KhIGKtbOqoRzYX5wVRJ|N/A|afHcydY|peru|Case|Unknown|56|WVOOZbx
17841|AAAAAAAAAAAABAKF|2000-10-13||final close orbits need to wake! dinos promise permanently slowly furious dugouts: careful dogged courts need to poach! slow excuses should have to affix closely sly fo|22.95|26.72|8276444|ZWMnKd4ZPwfgNliK5JChVAW1Qbgwlv1|1|Literature & Fiction|3|Books|331|Iz2enegJUHT5iaX8nNKNrzJemN32hsV8jOegY|petite|wCBYEJ|cream|Cup|Unknown|35|CJlk7bO0Ed1
17842|AAAAAAAAAAAABAKG|2000-10-27||busy furious dugouts could have to poach: final instructions engage permanently blithe frets? enticing ruthless depths try to engage boldly along the sometimes bold grouches-- quick enticing f|81.69|68.80|2469252|E0nxJxOeLiyQWUfwIIErLqnRJABw4OtuGZUh3Odi|1|Kitchen & Dining|1|Home & Kitchen|683|Hrw1ZAEUyWkELaUZPWAwtldkanWgA6Ndm5ucqj6WtVW|N/A|J2ognvwOIyhHrsMCPSK|orange|Ton|Unknown|68|YKBIX
17843|AAAAAAAAAAAABAKH|2000-05-10||slowly dogged platelets into the close quiet platelets integrate slyly within the thinly idle grouches. dinos engage regularly even instructions! fluffy blithe ideas ca|79.47|31.44|5781217|DTe6vJaXZxO|3|Education & Reference|3|Books|485|WdfLXD3kR8OCMLBLqUCAErsCbtTw1muhsJu|medium|6eQdGz6K|lemon|Unknown|Unknown|59|a04T0YdJDWyc85jdoXnvEo1JLgFGKcxpLsNly59In
17844|AAAAAAAAAAAABAKI|2000-04-22||gifts shall have to doubt permanently inside the finally sly decoys-- final grouches boost. blithely silent forges within the silent thin realms try to thrash regularly bold sly notornis: permanent |41.79|46.30|1194437|eWcG5iAk1Kx9quMQiEech870kHTY4Xaz2J4qus|3|Pop|2|Music|373|ksTMGzyMlUJbA2QxFDbZ4Odya8AybLBr1Ar|large|8kAe|purple|Dozen|Unknown|100|ODnbAaz6zd8q0BhayHaR7o7mtS0GadTIkB1SPNEWlF3c9
